X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-75.68014,45.42212,0,0,0,31,2017/05/06 13:30:39+00,,,,,,,,,,,,,,,,,,,,,
-75.68043,45.42202,0,0,1,30,2017/05/06 13:31:02+00,,,,,,,,,,,,,,,,,,,,,
-75.68069,45.421894,0,0,2,31,2017/05/06 13:31:09+00,,,,,,,,,,,,,,,,,,,,,
-75.680916,45.421764,0,0,3,32,2017/05/06 13:31:17+00,,,,,,,,,,,,,,,,,,,,,
-75.68115,45.421665,0,0,4,35,2017/05/06 13:31:25+00,,,,,,,,,,,,,,,,,,,,,
-75.68152,45.4215,0,0,5,37,2017/05/06 13:31:37+00,,,,,,,,,,,,,,,,,,,,,
-75.681755,45.42137,0,0,6,39,2017/05/06 13:31:44+00,,,,,,,,,,,,,,,,,,,,,
-75.682014,45.421272,0,0,7,40,2017/05/06 13:31:50+00,,,,,,,,,,,,,,,,,,,,,
-75.68216,45.421227,0,0,8,41,2017/05/06 13:31:54+00,,,,,,,,,,,,,,,,,,,,,
-75.68241,45.421143,0,0,9,43,2017/05/06 13:32:03+00,,,,,,,,,,,,,,,,,,,,,
-75.682526,45.42106,0,0,10,43,2017/05/06 13:32:09+00,,,,,,,,,,,,,,,,,,,,,
-75.68258,45.420883,0,0,11,43,2017/05/06 13:32:14+00,,,,,,,,,,,,,,,,,,,,,
-75.68282,45.420345,0,0,12,39,2017/05/06 13:32:39+00,,,,,,,,,,,,,,,,,,,,,
-75.68305,45.420162,0,0,13,37,2017/05/06 13:32:54+00,,,,,,,,,,,,,,,,,,,,,
-75.68292,45.41998,0,0,14,36,2017/05/06 13:33:01+00,,,,,,,,,,,,,,,,,,,,,
-75.682686,45.419853,0,0,15,36,2017/05/06 13:33:08+00,,,,,,,,,,,,,,,,,,,,,
-75.68243,45.419754,0,0,16,35,2017/05/06 13:33:16+00,,,,,,,,,,,,,,,,,,,,,
-75.68217,45.419647,0,0,17,34,2017/05/06 13:33:25+00,,,,,,,,,,,,,,,,,,,,,
-75.68187,45.419525,0,0,18,34,2017/05/06 13:33:33+00,,,,,,,,,,,,,,,,,,,,,
-75.68161,45.41942,0,0,19,34,2017/05/06 13:33:41+00,,,,,,,,,,,,,,,,,,,,,
-75.68137,45.419334,0,0,20,35,2017/05/06 13:33:49+00,,,,,,,,,,,,,,,,,,,,,
-75.68113,45.41924,0,0,21,36,2017/05/06 13:33:57+00,,,,,,,,,,,,,,,,,,,,,
-75.680855,45.41916,0,0,22,36,2017/05/06 13:34:05+00,,,,,,,,,,,,,,,,,,,,,
-75.680725,45.41911,0,0,23,36,2017/05/06 13:34:09+00,,,,,,,,,,,,,,,,,,,,,
-75.68057,45.419064,0,0,24,36,2017/05/06 13:34:13+00,,,,,,,,,,,,,,,,,,,,,
-75.680466,45.419014,0,0,25,36,2017/05/06 13:34:16+00,,,,,,,,,,,,,,,,,,,,,
-75.68037,45.41893,0,0,26,36,2017/05/06 13:34:20+00,,,,,,,,,,,,,,,,,,,,,
-75.680275,45.418842,0,0,27,36,2017/05/06 13:34:24+00,,,,,,,,,,,,,,,,,,,,,
-75.68022,45.41875,0,0,28,36,2017/05/06 13:34:28+00,,,,,,,,,,,,,,,,,,,,,
-75.68018,45.41864,0,0,29,36,2017/05/06 13:34:32+00,,,,,,,,,,,,,,,,,,,,,
-75.68014,45.418537,0,0,30,36,2017/05/06 13:34:37+00,,,,,,,,,,,,,,,,,,,,,
-75.68009,45.418446,0,0,31,36,2017/05/06 13:34:40+00,,,,,,,,,,,,,,,,,,,,,
-75.68006,45.41834,0,0,32,36,2017/05/06 13:34:45+00,,,,,,,,,,,,,,,,,,,,,
-75.67999,45.418144,0,0,33,36,2017/05/06 13:34:53+00,,,,,,,,,,,,,,,,,,,,,
-75.67997,45.41804,0,0,34,36,2017/05/06 13:34:57+00,,,,,,,,,,,,,,,,,,,,,
-75.67999,45.41793,0,0,35,36,2017/05/06 13:35:01+00,,,,,,,,,,,,,,,,,,,,,
-75.680046,45.417843,0,0,36,35,2017/05/06 13:35:06+00,,,,,,,,,,,,,,,,,,,,,
-75.68015,45.41764,0,0,37,34,2017/05/06 13:35:14+00,,,,,,,,,,,,,,,,,,,,,
-75.680275,45.41745,0,0,38,34,2017/05/06 13:35:22+00,,,,,,,,,,,,,,,,,,,,,
-75.6804,45.41725,0,0,39,33,2017/05/06 13:35:31+00,,,,,,,,,,,,,,,,,,,,,
-75.68048,45.41715,0,0,40,33,2017/05/06 13:35:36+00,,,,,,,,,,,,,,,,,,,,,
-75.68055,45.417065,0,0,41,33,2017/05/06 13:35:40+00,,,,,,,,,,,,,,,,,,,,,
-75.68061,45.416965,0,0,42,33,2017/05/06 13:35:45+00,,,,,,,,,,,,,,,,,,,,,
-75.68068,45.416874,0,0,43,33,2017/05/06 13:35:50+00,,,,,,,,,,,,,,,,,,,,,
-75.68074,45.416775,0,0,44,33,2017/05/06 13:35:55+00,,,,,,,,,,,,,,,,,,,,,
